###############################################################################
# Self-published geofeed as defined in datatracker.ietf.org/doc/html/rfc8805
# Tritan Internet LLC (AS393577, AS57308)
###############################################################################
# Specific Routes
23.142.248.2/32,US,US-WA,Seattle,98101
23.142.248.6/32,US,US-MN,Minneapolis
2602:291:0:c1::/64,CO,SA-CO,Bogotá
23.168.24.96/29,US,US-MO,Kansas City,64116
167.253.78.64/26,US,US-FL,Tampa

# Entire Subnets
23.142.248.0/24,US,US-MO,North Kansas City,64116
23.168.24.0/24,US,US-MO,North Kansas City,64116
167.253.78.0/24,US,US-MO,North Kansas City,64116
2602:291::/40,US,US-MO,North Kansas City,64116
2602:291:69::/48,US,US-MO,North Kansas City,64116
2602:291:77::/48,US,US-FL,Tampa
2a05:dfc1:4e00::/40,US,US-MO,North Kansas City,64116
2602:f9ba::/36,US,US-MO,North Kansas City,64116
2602:f9ba:69::/48,US,US-MO,North Kansas City,64116

